# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Mar 04 15:04:43 AEDT 2024 [seed=1709525081974]
# /home/sebastiand/Dropbox/projects_WORKING/BETS_prior_sensitivity/cholera/cholera_fixed_phi.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
1100000	-938.6585647492652	-938.6585647492652	-3.996802888650567E-15	1175.5236869614084	834.4763130385916	8053.4498260857545	1000.0	0.4023393817570047	0.03306372640755821	4.7625364233355146E-5	4.762536423335517E-5	-3.996802888650567E-15	0.0	-931.5881610376596
1125000	-970.4025642109565	-970.4025642109565	-5.995204332975852E-15	1504.759392087149	505.2406079128509	10815.09996959509	1000.0	9.936503979947084	0.23871418528268348	1.885295757447147E-4	1.8852957574471462E-4	-5.995204332975852E-15	0.0	-958.1485418272562
1150000	-972.7640185675268	-972.7640185675268	-4.996003610813208E-15	988.4025804601931	1021.5974195398069	9341.523142432954	1000.0	1.0862494774889433	0.12499172613161544	8.273884712555696E-5	8.273884712555695E-5	-4.996003610813208E-15	0.0	-964.8239438724204
1175000	-982.4910450473534	-982.4910450473534	-5.662137425588305E-15	1255.7985119696375	754.2014880303625	11725.128943453745	1000.0	0.8094300110942436	0.2119977447090199	8.665554652494937E-8	8.665554652494934E-8	-5.662137425588305E-15	0.0	-978.7870155238621
1200000	-971.9794528586361	-971.9794528586361	-4.662936703425661E-15	1249.8404073309582	760.1595926690418	10562.771811989382	1000.0	4.594202326763937	0.0830404066680192	4.4769692930488365E-6	4.47696929304884E-6	-4.662936703425661E-15	0.0	-965.1077501234016
1225000	-960.9711793747913	-960.9711793747913	-5.329070518200756E-15	3305.0926548164434	-1295.0926548164434	13020.646837059114	1000.0	16.1334636733903	0.4785484838386202	5.021453108905204E-4	5.021453108905207E-4	-5.329070518200756E-15	0.0	-942.3792438147724
1250000	-974.8296221994676	-974.8296221994676	-5.329070518200756E-15	4415.632451274045	-2405.632451274045	17024.598225309455	1000.0	4.366318994699207	0.41274060934096574	7.128384633833947E-6	7.128384633833948E-6	-5.329070518200756E-15	0.0	-967.2976768363495
1275000	-952.988428195808	-952.988428195808	-4.662936703425661E-15	1121.1360775502674	888.8639224497326	8151.762738256551	1000.0	11.809452096959676	0.2782904828295712	1.0409247329339961E-4	1.0409247329339957E-4	-4.662936703425661E-15	0.0	-941.6758322874466
1300000	-949.4492402573087	-949.4492402573087	-5.995204332975852E-15	1743.9320150854517	266.06798491454833	9168.085197762164	1000.0	2.4423933378225855	0.26372306835761744	3.634407410066938E-5	3.6344074100669383E-5	-5.995204332975852E-15	0.0	-941.5286925111797
1325000	-964.799725472587	-964.799725472587	-4.996003610813208E-15	1113.2215075557842	896.7784924442158	9310.346623818865	1000.0	8.956810178035273	0.27233791115384437	2.3088141734057298E-5	2.3088141734057298E-5	-4.996003610813208E-15	0.0	-955.4639869021962
